source_pkl	rows	cols	dtype	min	max	strict_0_1
gsm8k_16_samples_various_models_seed3.pkl	122	1000	float64	0.0	1.0	False
gsm8k_16_samples_various_models_seed4.pkl	122	1000	float64	0.0	1.0	False
gsm8k_16_samples_various_models_seed5.pkl	122	1000	float64	0.0	1.0	False
gsm8k_1_samples_mistral_512_sequence_length_seed1.pkl	205	784	float64	0.0	1.0	True
gsm8k_1_samples_mistral_512_sequence_length_seed2.pkl	205	784	float64	0.0	1.0	True
gsm8k_1_samples_mistral_512_sequence_length_seed3.pkl	205	784	float64	0.0	1.0	True
gsm8k_1_samples_mistral_512_sequence_length_seed4.pkl	205	784	float64	0.0	1.0	True
gsm8k_1_samples_mistral_512_sequence_length_seed5.pkl	205	784	float64	0.0	1.0	True
gsm8k_1_samples_mistral_512_sequence_length_top100_seed1.pkl	100	784	float64	0.0	1.0	True
gsm8k_1_samples_mistral_512_sequence_length_top1bottom99_seed1.pkl	100	784	float64	0.0	1.0	True
gsm8k_1_samples_mistral_512_sequence_length_top1random99_seed1.pkl	100	784	float64	0.0	1.0	True
gsm8k_1_samples_various_models_seed1.pkl	122	1000	float64	0.0	1.0	True
gsm8k_1_samples_various_models_seed2.pkl	122	1000	float64	0.0	1.0	True
gsm8k_1_samples_various_models_seed3.pkl	122	1000	float64	0.0	1.0	True
gsm8k_1_samples_various_models_seed4.pkl	122	1000	float64	0.0	1.0	True
gsm8k_1_samples_various_models_seed5.pkl	122	1000	float64	0.0	1.0	True
gsm8k_256_samples_mistral_512_sequence_length.pkl	205	784	float64	0.0	0.8984375	False
gsm8k_2_samples_mistral_512_sequence_length_seed1.pkl	205	784	float64	0.0	1.0	False
gsm8k_2_samples_mistral_512_sequence_length_seed2.pkl	205	784	float64	0.0	1.0	False
gsm8k_2_samples_mistral_512_sequence_length_seed3.pkl	205	784	float64	0.0	1.0	False
gsm8k_2_samples_mistral_512_sequence_length_seed4.pkl	205	784	float64	0.0	1.0	False
gsm8k_2_samples_mistral_512_sequence_length_seed5.pkl	205	784	float64	0.0	1.0	False
gsm8k_32_samples_mistral_512_sequence_length_seed1.pkl	205	784	float64	0.0	0.96875	False
gsm8k_32_samples_mistral_512_sequence_length_seed2.pkl	205	784	float64	0.0	1.0	False
gsm8k_32_samples_mistral_512_sequence_length_seed3.pkl	205	784	float64	0.0	1.0	False
gsm8k_32_samples_mistral_512_sequence_length_seed4.pkl	205	784	float64	0.0	0.96875	False
gsm8k_32_samples_mistral_512_sequence_length_seed5.pkl	205	784	float64	0.0	0.96875	False
gsm8k_4_samples_mistral_512_sequence_length_seed1.pkl	205	784	float64	0.0	1.0	False
gsm8k_4_samples_mistral_512_sequence_length_seed2.pkl	205	784	float64	0.0	1.0	False
gsm8k_4_samples_mistral_512_sequence_length_seed3.pkl	205	784	float64	0.0	1.0	False
gsm8k_4_samples_mistral_512_sequence_length_seed4.pkl	205	784	float64	0.0	1.0	False
gsm8k_4_samples_mistral_512_sequence_length_seed5.pkl	205	784	float64	0.0	1.0	False
gsm8k_4_samples_various_models_seed1.pkl	122	1000	float64	0.0	1.0	False
gsm8k_4_samples_various_models_seed2.pkl	122	1000	float64	0.0	1.0	False
gsm8k_4_samples_various_models_seed3.pkl	122	1000	float64	0.0	1.0	False
gsm8k_4_samples_various_models_seed4.pkl	122	1000	float64	0.0	1.0	False
gsm8k_4_samples_various_models_seed5.pkl	122	1000	float64	0.0	1.0	False
gsm8k_64_samples_mistral_512_sequence_length_seed1.pkl	205	784	float64	0.0	0.953125	False
gsm8k_64_samples_mistral_512_sequence_length_seed2.pkl	205	784	float64	0.0	0.9375	False
gsm8k_64_samples_mistral_512_sequence_length_seed3.pkl	205	784	float64	0.0	0.953125	False
gsm8k_64_samples_mistral_512_sequence_length_seed4.pkl	205	784	float64	0.0	0.90625	False
gsm8k_64_samples_mistral_512_sequence_length_seed5.pkl	205	784	float64	0.0	0.953125	False
gsm8k_64_samples_various_models_seed1.pkl	122	1000	float64	0.0	1.0	False
gsm8k_64_samples_various_models_seed2.pkl	122	1000	float64	0.0	1.0	False
gsm8k_64_samples_various_models_seed3.pkl	122	1000	float64	0.0	1.0	False
gsm8k_64_samples_various_models_seed4.pkl	122	1000	float64	0.0	1.0	False
gsm8k_64_samples_various_models_seed5.pkl	122	1000	float64	0.0	1.0	False
gsm8k_8_samples_mistral_512_sequence_length_seed1.pkl	205	784	float64	0.0	1.0	False
gsm8k_8_samples_mistral_512_sequence_length_seed2.pkl	205	784	float64	0.0	1.0	False
gsm8k_8_samples_mistral_512_sequence_length_seed3.pkl	205	784	float64	0.0	1.0	False
gsm8k_8_samples_mistral_512_sequence_length_seed4.pkl	205	784	float64	0.0	1.0	False
gsm8k_8_samples_mistral_512_sequence_length_seed5.pkl	205	784	float64	0.0	1.0	False
piqa_16_samples_tulu_2_512_sequence_length_seed1.pkl	177	1546	float64	0.0	1.0	False
piqa_16_samples_tulu_2_512_sequence_length_seed2.pkl	177	1546	float64	0.0	1.0	False
piqa_16_samples_tulu_2_512_sequence_length_seed3.pkl	177	1546	float64	0.0	1.0	False
piqa_16_samples_tulu_2_512_sequence_length_seed4.pkl	177	1546	float64	0.0	1.0	False
piqa_16_samples_tulu_2_512_sequence_length_seed5.pkl	177	1546	float64	0.0	1.0	False
piqa_16_samples_various_models_seed1.pkl	103	1000	float64	0.0	1.0	False
piqa_16_samples_various_models_seed2.pkl	103	1000	float64	0.0	1.0	False
piqa_16_samples_various_models_seed3.pkl	103	1000	float64	0.0	1.0	False
piqa_16_samples_various_models_seed4.pkl	103	1000	float64	0.0	1.0	False
piqa_16_samples_various_models_seed5.pkl	103	1000	float64	0.0	1.0	False
piqa_1_samples_tulu_2_512_sequence_length_seed1.pkl	177	1546	float64	0.0	1.0	True
piqa_1_samples_tulu_2_512_sequence_length_seed2.pkl	177	1546	float64	0.0	1.0	True
piqa_1_samples_tulu_2_512_sequence_length_seed3.pkl	177	1546	float64	0.0	1.0	True
piqa_1_samples_tulu_2_512_sequence_length_seed4.pkl	177	1546	float64	0.0	1.0	True
piqa_1_samples_tulu_2_512_sequence_length_seed5.pkl	177	1546	float64	0.0	1.0	True
piqa_1_samples_various_models_seed1.pkl	103	1000	float64	0.0	1.0	True
piqa_1_samples_various_models_seed2.pkl	103	1000	float64	0.0	1.0	True
piqa_1_samples_various_models_seed3.pkl	103	1000	float64	0.0	1.0	True
piqa_1_samples_various_models_seed4.pkl	103	1000	float64	0.0	1.0	True
piqa_1_samples_various_models_seed5.pkl	103	1000	float64	0.0	1.0	True
piqa_2_samples_tulu_2_512_sequence_length_seed1.pkl	177	1546	float64	0.0	1.0	False
piqa_2_samples_tulu_2_512_sequence_length_seed2.pkl	177	1546	float64	0.0	1.0	False
piqa_2_samples_tulu_2_512_sequence_length_seed3.pkl	177	1546	float64	0.0	1.0	False
piqa_2_samples_tulu_2_512_sequence_length_seed4.pkl	177	1546	float64	0.0	1.0	False
piqa_2_samples_tulu_2_512_sequence_length_seed5.pkl	177	1546	float64	0.0	1.0	False
piqa_32_samples_tulu_2_512_sequence_length_seed1.pkl	177	1546	float64	0.0	1.0	False
piqa_32_samples_tulu_2_512_sequence_length_seed2.pkl	177	1546	float64	0.0	1.0	False
piqa_32_samples_tulu_2_512_sequence_length_seed3.pkl	177	1546	float64	0.0	1.0	False
piqa_32_samples_tulu_2_512_sequence_length_seed4.pkl	177	1546	float64	0.0	1.0	False
piqa_32_samples_tulu_2_512_sequence_length_seed5.pkl	177	1546	float64	0.0	1.0	False
piqa_4_samples_tulu_2_512_sequence_length_seed1.pkl	177	1546	float64	0.0	1.0	False
piqa_4_samples_tulu_2_512_sequence_length_seed2.pkl	177	1546	float64	0.0	1.0	False
piqa_4_samples_tulu_2_512_sequence_length_seed3.pkl	177	1546	float64	0.0	1.0	False
piqa_4_samples_tulu_2_512_sequence_length_seed4.pkl	177	1546	float64	0.0	1.0	False
piqa_4_samples_tulu_2_512_sequence_length_seed5.pkl	177	1546	float64	0.0	1.0	False
piqa_4_samples_various_models_seed1.pkl	103	1000	float64	0.0	1.0	False
piqa_4_samples_various_models_seed2.pkl	103	1000	float64	0.0	1.0	False
piqa_4_samples_various_models_seed3.pkl	103	1000	float64	0.0	1.0	False
piqa_4_samples_various_models_seed4.pkl	103	1000	float64	0.0	1.0	False
piqa_4_samples_various_models_seed5.pkl	103	1000	float64	0.0	1.0	False
piqa_64_samples_tulu_2_512_sequence_length.pkl	177	1546	float64	0.0	1.0	False
piqa_64_samples_various_models_seed1.pkl	103	1000	float64	0.0	1.0	False
piqa_64_samples_various_models_seed2.pkl	103	1000	float64	0.0	1.0	False
piqa_64_samples_various_models_seed3.pkl	103	1000	float64	0.0	1.0	False
piqa_64_samples_various_models_seed4.pkl	103	1000	float64	0.0	1.0	False
piqa_64_samples_various_models_seed5.pkl	103	1000	float64	0.0	1.0	False
piqa_8_samples_tulu_2_512_sequence_length_seed1.pkl	177	1546	float64	0.0	1.0	False
piqa_8_samples_tulu_2_512_sequence_length_seed2.pkl	177	1546	float64	0.0	1.0	False
piqa_8_samples_tulu_2_512_sequence_length_seed3.pkl	177	1546	float64	0.0	1.0	False
piqa_8_samples_tulu_2_512_sequence_length_seed4.pkl	177	1546	float64	0.0	1.0	False
piqa_8_samples_tulu_2_512_sequence_length_seed5.pkl	177	1546	float64	0.0	1.0	False
xsum_2d_comparisons.pkl	3	500	float64	0.0	1.0	True
