benchmark,benchmark_label,prior_tag,budget_fraction,method_key,method_label,family,parameter,n_runs,n_eligible,mean_regret,p90_regret,regret_mc_se,regret_ci95_low,regret_ci95_high,coverage,mean_selected_n,paired_n,paired_mean_delta,paired_mc_se,paired_ci95_low,paired_ci95_high
piqa,PIQA,dataset,0.01,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,100,21,0.011714285714285724,0.039000000000000035,0.005334064544453509,0.0022821428571428593,0.022200681818181835,0.21,421.3333333333333,21,-0.0019523809523809541,0.001936260642069369,-0.006882352941176477,0.0
piqa,PIQA,dataset,0.01,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,100,100,0.03171000000000003,0.061000000000000054,0.0032176586118702146,0.02582900000000002,0.03822150000000003,1.0,175.52,100,0.0007300000000000006,0.0010008511908401808,-0.0006305000000000005,0.002951000000000002
piqa,PIQA,dataset,0.01,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,100,100,0.031060000000000025,0.061000000000000054,0.003253960640488736,0.02524875000000002,0.03770000000000003,1.0,177.28,100,8.000000000000007e-05,0.0011124011478840787,-0.0016202500000000015,0.002713749999999999
piqa,PIQA,dataset,0.01,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,100,100,0.031060000000000025,0.061000000000000054,0.003253960640488736,0.02524875000000002,0.03770000000000003,1.0,177.28,100,8.000000000000007e-05,0.0011124011478840787,-0.0016202500000000015,0.002713749999999999
piqa,PIQA,dataset,0.01,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,100,100,0.03313000000000002,0.06510000000000032,0.003311297651863881,0.02696750000000003,0.039831500000000034,1.0,177.92,100,0.002150000000000001,0.0014790858171365368,-0.00033000000000000027,0.005300000000000003
piqa,PIQA,dataset,0.01,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,100,100,0.031060000000000025,0.061000000000000054,0.003253960640488736,0.02524875000000002,0.03770000000000003,1.0,177.28,100,8.000000000000007e-05,0.0011124011478840787,-0.0016202500000000015,0.002713749999999999
piqa,PIQA,dataset,0.01,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,100,100,0.03211000000000003,0.061100000000000064,0.003424731970033068,0.02567950000000002,0.03921075000000003,1.0,177.76,100,0.00113,0.0013601462376479191,-0.001140250000000001,0.004240499999999999
piqa,PIQA,dataset,0.01,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,100,100,0.03211000000000003,0.061100000000000064,0.003424731970033068,0.02567950000000002,0.03921075000000003,1.0,177.76,100,0.00113,0.0013601462376479191,-0.001140250000000001,0.004240499999999999
piqa,PIQA,dataset,0.01,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,100,100,0.03313000000000002,0.06510000000000032,0.003311297651863881,0.02696750000000003,0.039831500000000034,1.0,177.92,100,0.002150000000000001,0.0014790858171365368,-0.00033000000000000027,0.005300000000000003
piqa,PIQA,dataset,0.01,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,100,100,0.031060000000000025,0.061000000000000054,0.003253960640488736,0.02524875000000002,0.03770000000000003,1.0,177.28,100,8.000000000000007e-05,0.0011124011478840787,-0.0016202500000000015,0.002713749999999999
piqa,PIQA,dataset,0.01,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,100,100,0.03211000000000003,0.061100000000000064,0.003424731970033068,0.02567950000000002,0.03921075000000003,1.0,177.76,100,0.00113,0.0013601462376479191,-0.001140250000000001,0.004240499999999999
piqa,PIQA,dataset,0.01,finite_gaussian_lcb_1.96,Finite-row Gaussian bound: mean - 1.96 x SD,finite_gaussian_lcb,1.96,100,100,0.03211000000000003,0.061100000000000064,0.003424731970033068,0.02567950000000002,0.03921075000000003,1.0,177.76,100,0.00113,0.0013601462376479191,-0.001140250000000001,0.004240499999999999
piqa,PIQA,dataset,0.01,finite_population_lcb,Anytime finite-population lower bound (delta=0.05),confidence,0.05,100,100,0.03313000000000002,0.06510000000000032,0.003311297651863881,0.02696750000000003,0.039831500000000034,1.0,177.92,100,0.002150000000000001,0.0014790858171365368,-0.00033000000000000027,0.005300000000000003
piqa,PIQA,default,0.02,posterior_mean,Current posterior mean,baseline,,100,100,0.024590000000000018,0.03930000000000006,0.00342403304595616,0.018058000000000015,0.03157050000000003,1.0,87.04,100,0.0,0.0,0.0,0.0
piqa,PIQA,default,0.02,empirical_mean,Observed sample mean,baseline,,100,100,0.02425000000000002,0.039000000000000035,0.003020832901936391,0.018630000000000015,0.03065025000000002,1.0,84.16,100,-0.00034000000000000143,0.0028350214327274546,-0.0061212500000000026,0.005310499999999998
piqa,PIQA,default,0.02,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,100,100,0.024590000000000018,0.03930000000000006,0.00342403304595616,0.018058000000000015,0.03157050000000003,1.0,87.04,100,0.0,0.0,0.0,0.0
piqa,PIQA,default,0.02,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,100,100,0.024590000000000018,0.03930000000000006,0.00342403304595616,0.018058000000000015,0.03157050000000003,1.0,87.04,100,0.0,0.0,0.0,0.0
piqa,PIQA,default,0.02,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,100,100,0.02404000000000002,0.03930000000000006,0.003273675803185829,0.017829500000000015,0.030790750000000026,1.0,88.32,100,-0.0005500000000000005,0.000809224199715633,-0.002120000000000002,0.0009200000000000008
piqa,PIQA,default,0.02,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,100,12,0.0028333333333333357,0.0,0.002343871147535506,0.0,0.007285714285714292,0.12,142.66666666666666,12,0.0,0.0,0.0,0.0
piqa,PIQA,default,0.02,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,100,100,0.02469000000000002,0.03930000000000006,0.003419272981969302,0.018079500000000016,0.031690500000000024,1.0,87.36,100,0.00010000000000000009,9.924640975798503e-05,0.0,0.00030000000000000024
piqa,PIQA,default,0.02,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,100,100,0.02377000000000002,0.039000000000000035,0.003265879873609693,0.017439750000000014,0.030213750000000022,1.0,88.32,100,-0.0008200000000000007,0.0007350756738229386,-0.0023600000000000023,0.00031025000000000003
piqa,PIQA,default,0.02,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,100,100,0.023390000000000022,0.039000000000000035,0.0033387528243825327,0.016829750000000015,0.030111000000000027,1.0,89.28,100,-0.001200000000000001,0.0008057554357385517,-0.0027702500000000023,0.00024024999999999999
piqa,PIQA,default,0.02,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,100,100,0.021960000000000014,0.039000000000000035,0.0029575852891578045,0.016449750000000013,0.027780500000000024,1.0,92.16,100,-0.002630000000000002,0.0018379859059825777,-0.006240500000000006,0.0009902500000000007
piqa,PIQA,default,0.02,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,100,100,0.02348000000000002,0.039000000000000035,0.003355275439718235,0.016908750000000014,0.03024100000000002,1.0,89.12,100,-0.001110000000000001,0.0008019993993991753,-0.0027205000000000024,0.00030000000000000024
piqa,PIQA,default,0.02,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,100,100,0.022070000000000017,0.039000000000000035,0.002799644843770592,0.016830000000000015,0.02770125000000002,1.0,91.04,100,-0.0025200000000000023,0.0016785201241889573,-0.005850250000000006,0.0004904999999999999
piqa,PIQA,default,0.02,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,100,100,0.022490000000000013,0.039000000000000035,0.002879228685155355,0.017169500000000015,0.027986750000000015,1.0,91.84,100,-0.002100000000000002,0.0018015654795974756,-0.005771500000000005,0.0012305000000000007
piqa,PIQA,default,0.02,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,100,100,0.02145000000000002,0.039000000000000035,0.0028814334706784325,0.016110000000000017,0.027051250000000016,1.0,92.48,100,-0.0031400000000000026,0.0018153096128734063,-0.006652750000000006,0.0004900000000000004
piqa,PIQA,default,0.02,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,100,100,0.023720000000000015,0.039000000000000035,0.003215737182860136,0.017529750000000018,0.030190750000000023,1.0,89.6,100,-0.0008700000000000008,0.0008866273440105198,-0.0026007500000000024,0.0007302500000000004
piqa,PIQA,default,0.02,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,100,100,0.022260000000000016,0.039000000000000035,0.0028370087194745076,0.01696850000000001,0.028010500000000025,1.0,91.36,100,-0.002330000000000002,0.0017070562396726743,-0.0056322500000000044,0.0008000000000000007
piqa,PIQA,default,0.02,finite_gaussian_lcb_1.96,Finite-row Gaussian bound: mean - 1.96 x SD,finite_gaussian_lcb,1.96,100,100,0.022490000000000013,0.039000000000000035,0.002879228685155355,0.017169500000000015,0.027986750000000015,1.0,91.84,100,-0.002100000000000002,0.0018015654795974756,-0.005771500000000005,0.0012305000000000007
piqa,PIQA,default,0.02,finite_population_lcb,Anytime finite-population lower bound (delta=0.05),confidence,0.05,100,100,0.02216000000000002,0.03930000000000006,0.0031133136355647514,0.016390000000000012,0.028681000000000022,1.0,92.96,100,-0.002430000000000002,0.0020665242775466486,-0.006471500000000006,0.0015102500000000012
piqa,PIQA,dataset,0.02,posterior_mean,Current posterior mean,baseline,,100,100,0.028540000000000027,0.04710000000000005,0.002562801196029528,0.02383000000000002,0.03399000000000003,1.0,242.56,100,0.0,0.0,0.0,0.0
piqa,PIQA,dataset,0.02,empirical_mean,Observed sample mean,baseline,,100,100,0.03361000000000002,0.061000000000000054,0.003869970963412732,0.026956750000000026,0.04187025000000003,1.0,176.4,100,0.0050700000000000025,0.0028736244593079896,0.001139500000000001,0.011671750000000002
piqa,PIQA,dataset,0.02,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,100,100,0.028540000000000027,0.04710000000000005,0.002562801196029528,0.02383000000000002,0.03399000000000003,1.0,242.56,100,0.0,0.0,0.0,0.0
piqa,PIQA,dataset,0.02,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,100,100,0.028150000000000026,0.04710000000000005,0.0025688131767485634,0.02348875000000002,0.03370150000000003,1.0,242.88,100,-0.00039000000000000037,0.0003919033883060544,-0.0011700000000000011,0.0
piqa,PIQA,dataset,0.02,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,100,74,0.023716216216216238,0.039000000000000035,0.002675712675944499,0.01869927631578949,0.029056641906231938,0.74,310.81081081081084,74,0.0006891891891891898,0.000499435548476324,-0.0001267605633802818,0.0017296428571428575
piqa,PIQA,dataset,0.02,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,100,29,0.014827586206896564,0.039000000000000035,0.004285454211503423,0.006090810276679848,0.022853211805555575,0.29,626.4827586206897,29,0.0008620689655172421,0.0021111387483031107,-0.003677448156682031,0.004822444581280791
piqa,PIQA,dataset,0.02,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,100,100,0.028510000000000025,0.04710000000000005,0.002561185046798445,0.023830000000000018,0.033960000000000025,1.0,245.76,100,-3.0000000000000028e-05,3.0268334477999838e-05,-9.000000000000007e-05,0.0
piqa,PIQA,dataset,0.02,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,100,100,0.028100000000000028,0.04710000000000005,0.0025627672027977388,0.02323975000000002,0.03356075000000003,1.0,267.52,100,-0.0004400000000000004,0.0005151098665086653,-0.0014400000000000012,0.0005407499999999998
piqa,PIQA,dataset,0.02,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,100,100,0.027860000000000027,0.04710000000000005,0.0026330329553851304,0.022979500000000017,0.03345150000000002,1.0,268.16,100,-0.0006800000000000006,0.0005463230631131087,-0.0017000000000000014,0.00039025000000000013
piqa,PIQA,dataset,0.02,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,100,100,0.029040000000000024,0.04710000000000005,0.0023842591069321716,0.024618750000000023,0.03409150000000003,1.0,283.76,100,0.0005000000000000004,0.0005527047190013914,-0.0006300000000000006,0.0015400000000000014
piqa,PIQA,dataset,0.02,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,100,100,0.028370000000000024,0.04710000000000005,0.002509218216727905,0.02356850000000002,0.03375050000000003,1.0,282.8,100,-0.00017000000000000015,0.0005740084780147707,-0.0012900000000000012,0.0009300000000000008
piqa,PIQA,dataset,0.02,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,100,100,0.029040000000000024,0.04710000000000005,0.0023842591069321716,0.024618750000000023,0.03409150000000003,1.0,288.8,100,0.0005000000000000004,0.0005527047190013914,-0.0006300000000000006,0.0015400000000000014
piqa,PIQA,dataset,0.02,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,100,100,0.029010000000000025,0.04710000000000005,0.002431635435440703,0.024418500000000017,0.03411100000000003,1.0,289.44,100,0.0004700000000000004,0.0006749401548379036,-0.0008700000000000008,0.0016900000000000014
piqa,PIQA,dataset,0.02,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,100,100,0.029010000000000025,0.04710000000000005,0.002431635435440703,0.024418500000000017,0.03411100000000003,1.0,289.44,100,0.0004700000000000004,0.0006749401548379036,-0.0008700000000000008,0.0016900000000000014
piqa,PIQA,dataset,0.02,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,100,100,0.028370000000000024,0.04710000000000005,0.002509218216727905,0.02356850000000002,0.03375050000000003,1.0,287.84,100,-0.00017000000000000015,0.0005740084780147707,-0.0012900000000000012,0.0009300000000000008
piqa,PIQA,dataset,0.02,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,100,100,0.028750000000000026,0.04710000000000005,0.0023445405742072607,0.024358000000000022,0.033771250000000023,1.0,288.96,100,0.0002100000000000002,0.0006369208306724983,-0.001080250000000001,0.0013700000000000012
piqa,PIQA,dataset,0.02,finite_gaussian_lcb_1.96,Finite-row Gaussian bound: mean - 1.96 x SD,finite_gaussian_lcb,1.96,100,100,0.029010000000000025,0.04710000000000005,0.002431635435440703,0.024418500000000017,0.03411100000000003,1.0,289.44,100,0.0004700000000000004,0.0006749401548379036,-0.0008700000000000008,0.0016900000000000014
piqa,PIQA,dataset,0.02,finite_population_lcb,Anytime finite-population lower bound (delta=0.05),confidence,0.05,100,100,0.028540000000000027,0.04500000000000004,0.0024243509392364348,0.02399925000000002,0.033780250000000026,1.0,290.08,100,0.0,0.0005995342629345157,-0.001230250000000001,0.0011102500000000008
piqa,PIQA,default,0.05,posterior_mean,Current posterior mean,baseline,,100,100,0.004430000000000004,0.024400000000000057,0.0013064094000812393,0.002087750000000002,0.007010000000000006,1.0,856.0,100,0.0,0.0,0.0,0.0
piqa,PIQA,default,0.05,empirical_mean,Observed sample mean,baseline,,100,100,0.005390000000000005,0.028100000000000035,0.001451369995853872,0.002630000000000002,0.007980000000000008,1.0,817.84,100,0.0009600000000000009,0.0008232739271099627,-2.000000000000002e-05,0.0027320000000000005
piqa,PIQA,default,0.05,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,100,100,0.004430000000000004,0.024400000000000057,0.0013064094000812393,0.002087750000000002,0.007010000000000006,1.0,856.0,100,0.0,0.0,0.0,0.0
piqa,PIQA,default,0.05,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,100,100,0.004430000000000004,0.024400000000000057,0.0013064094000812393,0.002087750000000002,0.007010000000000006,1.0,856.0,100,0.0,0.0,0.0,0.0
piqa,PIQA,default,0.05,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,100,100,0.004430000000000004,0.024400000000000057,0.0013064094000812393,0.002087750000000002,0.007010000000000006,1.0,856.0,100,0.0,0.0,0.0,0.0
piqa,PIQA,default,0.05,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,100,100,0.004430000000000004,0.024400000000000057,0.0013064094000812393,0.002087750000000002,0.007010000000000006,1.0,856.0,100,0.0,0.0,0.0,0.0
piqa,PIQA,default,0.05,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,100,100,0.004140000000000004,0.02400000000000002,0.0013152410707448947,0.0017900000000000017,0.006790000000000006,1.0,863.44,100,-0.00029000000000000027,0.0002878145882981566,-0.0008700000000000008,0.0
piqa,PIQA,default,0.05,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,100,100,0.003690000000000003,0.02400000000000002,0.0011534843879885568,0.0016200000000000014,0.006000500000000005,1.0,883.04,100,-0.0007400000000000006,0.00039990124456596246,-0.0015800000000000013,0.0
piqa,PIQA,default,0.05,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,100,100,0.0029300000000000025,0.0022000000000001897,0.0011151628516435114,0.0010800000000000009,0.005321250000000003,1.0,929.52,100,-0.0015000000000000013,0.0006449978851685271,-0.0028905000000000024,-0.00035975000000000053
piqa,PIQA,default,0.05,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,100,100,0.003400000000000003,0.022200000000000036,0.0012542523270857434,0.0012897500000000012,0.006001250000000004,1.0,953.04,100,-0.001030000000000001,0.0007406498512807541,-0.002550250000000002,0.00030049999999999977
piqa,PIQA,default,0.05,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,100,100,0.003400000000000003,0.022200000000000036,0.0012542523270857434,0.0012897500000000012,0.006001250000000004,1.0,957.28,100,-0.001030000000000001,0.0007406498512807541,-0.002550250000000002,0.00030049999999999977
piqa,PIQA,default,0.05,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,100,100,0.003920000000000003,0.02400000000000002,0.0012955414387504254,0.0016197500000000014,0.006631500000000005,1.0,975.04,100,-0.0005100000000000005,0.0008604680933885586,-0.002280250000000002,0.0011402500000000009
piqa,PIQA,default,0.05,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,100,100,0.003920000000000003,0.02400000000000002,0.0012955414387504254,0.0016197500000000014,0.006631500000000005,1.0,978.0,100,-0.0005100000000000005,0.0008604680933885586,-0.002280250000000002,0.0011402500000000009
piqa,PIQA,default,0.05,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,100,100,0.004220000000000004,0.024200000000000037,0.0012963130638312115,0.0019000000000000017,0.006970500000000006,1.0,984.64,100,-0.0002100000000000002,0.0009203190922889914,-0.002071750000000002,0.001590500000000001
piqa,PIQA,default,0.05,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,100,100,0.003920000000000003,0.02400000000000002,0.0012955414387504254,0.0016197500000000014,0.006631500000000005,1.0,980.48,100,-0.0005100000000000005,0.0008604680933885586,-0.002280250000000002,0.0011402500000000009
piqa,PIQA,default,0.05,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,100,100,0.004520000000000004,0.02620000000000004,0.001338162485963062,0.002229250000000002,0.007320750000000005,1.0,996.88,100,9.000000000000007e-05,0.0008943072696744636,-0.0016907500000000013,0.0017702500000000014
piqa,PIQA,default,0.05,finite_gaussian_lcb_1.96,Finite-row Gaussian bound: mean - 1.96 x SD,finite_gaussian_lcb,1.96,100,100,0.004520000000000004,0.02620000000000004,0.001338162485963062,0.002229250000000002,0.007320750000000005,1.0,996.88,100,9.000000000000007e-05,0.0008943072696744636,-0.0016907500000000013,0.0017702500000000014
piqa,PIQA,default,0.05,finite_population_lcb,Anytime finite-population lower bound (delta=0.05),confidence,0.05,100,100,0.004820000000000004,0.028100000000000035,0.0013267255898605384,0.002450000000000002,0.007650750000000006,1.0,1000.0,100,0.00039000000000000037,0.0009486106056655612,-0.0015505000000000015,0.002150750000000001
piqa,PIQA,dataset,0.05,posterior_mean,Current posterior mean,baseline,,100,100,0.007010000000000006,0.029000000000000026,0.0011217441638221575,0.004949250000000005,0.009390250000000008,1.0,958.16,100,0.0,0.0,0.0,0.0
piqa,PIQA,dataset,0.05,empirical_mean,Observed sample mean,baseline,,100,100,0.007080000000000006,0.029000000000000026,0.0011140099993620708,0.005089750000000004,0.009470250000000008,1.0,949.04,100,7.000000000000006e-05,6.067563458780336e-05,0.0,0.00020000000000000017
piqa,PIQA,dataset,0.05,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,100,100,0.007010000000000006,0.029000000000000026,0.0011217441638221575,0.004949250000000005,0.009390250000000008,1.0,958.16,100,0.0,0.0,0.0,0.0
