prior_tag,method_key,method_label,family,parameter,n_runs,n_matrices,n_eligible,mean_final_regret,final_regret_mc_se,final_regret_ci95_low,final_regret_ci95_high,p90_final_regret,top1_accuracy,final_coverage,mean_selected_n,paired_n,paired_mean_final_delta,paired_mc_se,paired_ci95_low,paired_ci95_high
default,finite_population_lcb,Anytime finite-population lower bound (delta=0.05),confidence,0.05,20,1,20,0.006000000000000005,0.0016716285748012616,0.0030000000000000027,0.009500000000000008,0.020000000000000018,0.55,1.0,91.0,20,0.0005000000000000004,0.0008498271625490724,-0.0010000000000000009,0.0020000000000000018
dataset,posterior_mean,Current posterior mean,baseline,,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,empirical_mean,Observed sample mean,baseline,,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,variance_gate_0.5,Variance gate: v/v0 <= 0.5,variance_gate,0.5,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,variance_gate_0.2,Variance gate: v/v0 <= 0.2,variance_gate,0.2,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,variance_gate_0.1,Variance gate: v/v0 <= 0.1,variance_gate,0.1,20,1,0,nan,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
dataset,variance_gate_0.05,Variance gate: v/v0 <= 0.05,variance_gate,0.05,20,1,0,nan,nan,nan,nan,nan,nan,0.0,nan,0,nan,nan,nan,nan
dataset,mean_variance_1,Mean - 1 x variance,mean_variance,1.0,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,mean_variance_5,Mean - 5 x variance,mean_variance,5.0,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,mean_variance_10,Mean - 10 x variance,mean_variance,10.0,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,mean_variance_20,Mean - 20 x variance,mean_variance,20.0,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,gaussian_lcb_1,Gaussian lower bound: mean - 1 x SD,gaussian_lcb,1.0,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,gaussian_lcb_1.645,Gaussian lower bound: mean - 1.645 x SD,gaussian_lcb,1.645,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,gaussian_lcb_1.96,Gaussian lower bound: mean - 1.96 x SD,gaussian_lcb,1.96,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,gaussian_lcb_2.576,Gaussian lower bound: mean - 2.576 x SD,gaussian_lcb,2.576,20,1,20,0.0040000000000000036,0.0012852248063287628,0.0015000000000000013,0.006500000000000006,0.010000000000000009,0.65,1.0,96.4,20,0.0,0.0,0.0,0.0
dataset,finite_gaussian_lcb_1,Finite-row Gaussian bound: mean - 1 x SD,finite_gaussian_lcb,1.0,20,1,20,0.0010000000000000009,0.000683660289465018,0.0,0.0025000000000000022,0.0010000000000000152,0.9,1.0,98.4,20,-0.0030000000000000027,0.0014379077086442585,-0.006000000000000005,0.0
dataset,finite_gaussian_lcb_1.645,Finite-row Gaussian bound: mean - 1.645 x SD,finite_gaussian_lcb,1.645,20,1,20,0.0015000000000000013,0.0008182293378077142,0.0,0.0030000000000000027,0.010000000000000009,0.85,1.0,98.6,20,-0.0025000000000000022,0.0015601768816073086,-0.005512500000000004,0.0005000000000000004
dataset,finite_gaussian_lcb_1.96,Finite-row Gaussian bound: mean - 1.96 x SD,finite_gaussian_lcb,1.96,20,1,20,0.0015000000000000013,0.0008182293378077142,0.0,0.0030000000000000027,0.010000000000000009,0.85,1.0,98.6,20,-0.0025000000000000022,0.0015601768816073086,-0.005512500000000004,0.0005000000000000004
dataset,finite_population_lcb,Anytime finite-population lower bound (delta=0.05),confidence,0.05,20,1,20,0.0015000000000000013,0.0008182293378077142,0.0,0.0030000000000000027,0.010000000000000009,0.85,1.0,98.6,20,-0.0025000000000000022,0.0015601768816073086,-0.005512500000000004,0.0005000000000000004
